timestamp,user_id,latitude,longitude,speed_mps,planned_route_id,distance_from_route_m,is_checkin,battery_percent,signal_strength,is_emergency_action,inactivity_minutes,anomaly_type
2025-01-01T08:00:00,user_35,26.9591402,92.05002151,1.050058637,R1,11.16053691,0,83,5,0,5,None
2025-01-01T08:01:00,user_46,26.88573877,92.06356536,0.68739048,,11.63304467,0,75,3,0,4,None
2025-01-01T08:02:00,user_10,26.33066093,93.17853137,2.118860913,R2,0.324937984,1,61,4,0,1,None
2025-01-01T08:03:00,user_47,27.43581961,92.67318909,0.685491687,,4.835818842,1,91,3,0,2,None
2025-01-01T08:04:00,user_46,26.80434214,93.94623153,1.257068754,R1,27.60203156,1,76,3,0,5,None
2025-01-01T08:05:00,user_30,26.06873658,92.45579655,1.078775927,R3,3.989598846,0,64,4,0,1,None
2025-01-01T08:06:00,user_11,26.24398115,92.7105414,1.840350349,R2,35.09101567,0,78,5,0,5,None
2025-01-01T08:07:00,user_50,26.24510374,92.75891088,2.479046701,R1,31.99998799,0,83,4,0,4,None
2025-01-01T08:08:00,user_32,26.34357211,92.06420049,1.130906096,,13.3870438,1,53,5,0,1,None
2025-01-01T08:09:00,user_28,27.32702473,93.28570374,0.785743181,,6.981515976,1,87,5,0,5,None
2025-01-01T08:00:00,user_8,26.54299467,93.99465156,0,R2,13.83317449,0,10,0,0,51,Dropoff
2025-01-01T08:01:00,user_39,26.94116906,93.58415873,0,,42.21599668,0,29,1,0,24,Dropoff
2025-01-01T08:02:00,user_35,26.79367152,93.94215676,0,R3,86.07797022,0,12,2,0,20,Dropoff
2025-01-01T08:03:00,user_47,27.1528981,92.68035095,0,R3,29.35001286,0,34,0,0,30,Dropoff
2025-01-01T08:04:00,user_33,27.45783215,93.5239244,0,R2,50.76816746,0,24,2,0,26,Dropoff
2025-01-01T08:05:00,user_21,26.2292589,93.5250216,0,,53.93790301,0,5,2,0,53,Dropoff
2025-01-01T08:06:00,user_16,26.02921511,93.85819723,0,R1,87.87218778,0,20,0,0,39,Dropoff
2025-01-01T08:07:00,user_43,26.12848018,92.97198093,0,,6.921251847,0,13,0,0,54,Dropoff
2025-01-01T08:08:00,user_35,27.42027302,92.33025392,0,R2,52.76737874,0,32,0,0,58,Dropoff
2025-01-01T08:09:00,user_29,27.06942346,92.7979846,0,R1,67.16869596,0,33,2,0,43,Dropoff
2025-01-01T08:00:00,user_46,26.37185842,92.12805179,1.02103426,R1,576.9607612,0,30,1,0,9,OffRoute
2025-01-01T08:01:00,user_14,26.34341268,93.81084003,1.8596354,R2,335.4286749,1,72,4,0,3,OffRoute
2025-01-01T08:02:00,user_7,27.08502885,93.76476615,1.57621165,,421.4986212,1,42,1,0,7,OffRoute
